property_id,batch_id,full_id,substance,box,equilibration_index,n_total_points,equilibrated_fraction,components
1ef18b69b93247219b4583de8aba516c,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_1ef18b69b93247219b4583de8aba516c,c1cc[nH]c1,c1cc[nH]c1 (9932cc8996394201bf9ddd96d492f22f_1ef18b69b93247219b4583de8aba516c),10,1020,0.00980392156862745,"['C1CCCCC1', 'c1cc[nH]c1']"
1ef18b69b93247219b4583de8aba516c,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_1ef18b69b93247219b4583de8aba516c,C1CCCCC1{solv}{x=0.281800}|c1cc[nH]c1{solv}{x=0.718200},C1CCCCC1{solv}{x=0.281800}|c1cc[nH]c1{solv}{x=0.718200} (9932cc8996394201bf9ddd96d492f22f_1ef18b69b93247219b4583de8aba516c),10,1020,0.00980392156862745,"['C1CCCCC1', 'c1cc[nH]c1']"
1f5f6a9eff5140288fe5bc46572b5825,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_1f5f6a9eff5140288fe5bc46572b5825,C1CCCCC1,C1CCCCC1 (9932cc8996394201bf9ddd96d492f22f_1f5f6a9eff5140288fe5bc46572b5825),10,1020,0.00980392156862745,"['C1CCCCC1', 'CCCCCO']"
2166b317cdc44378a9c8cab19b5fbd07,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_2166b317cdc44378a9c8cab19b5fbd07,COC(=O)OC,COC(=O)OC (9932cc8996394201bf9ddd96d492f22f_2166b317cdc44378a9c8cab19b5fbd07),10,1020,0.00980392156862745,"['COC(=O)OC', 'Cc1ccc(C)cc1']"
24c14766956e4264b928d3035e2c6e72,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_24c14766956e4264b928d3035e2c6e72,CC1CCCCC1,CC1CCCCC1 (9932cc8996394201bf9ddd96d492f22f_24c14766956e4264b928d3035e2c6e72),10,1020,0.00980392156862745,"['CC1CCCCC1', 'CCCO']"
25ed9d47dcb8412bbe8318d45353f088,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_25ed9d47dcb8412bbe8318d45353f088,CCCOC(C)=O,CCCOC(C)=O (9932cc8996394201bf9ddd96d492f22f_25ed9d47dcb8412bbe8318d45353f088),10,1020,0.00980392156862745,['CCCOC(C)=O']
28e04d161c6a4f0894d06120ca250331,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_28e04d161c6a4f0894d06120ca250331,CCCOC=O,CCCOC=O (9932cc8996394201bf9ddd96d492f22f_28e04d161c6a4f0894d06120ca250331),10,1020,0.00980392156862745,"['CCCCCCCCC', 'CCCOC=O']"
28f60520200b455786481b117f437e34,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_28f60520200b455786481b117f437e34,COC(C)(C)C{solv}{x=0.484000}|ClC(Cl)Cl{solv}{x=0.516000},COC(C)(C)C{solv}{x=0.484000}|ClC(Cl)Cl{solv}{x=0.516000} (9932cc8996394201bf9ddd96d492f22f_28f60520200b455786481b117f437e34),10,1020,0.00980392156862745,"['COC(C)(C)C', 'ClC(Cl)Cl']"
2cd6cc4ee8b44e7d906aedd94e71d2d1,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_2cd6cc4ee8b44e7d906aedd94e71d2d1,CCOC=O,CCOC=O (9932cc8996394201bf9ddd96d492f22f_2cd6cc4ee8b44e7d906aedd94e71d2d1),10,1020,0.00980392156862745,"['CCOC=O', 'ClCCCCCl']"
2e43db43ba374d4caf6a40460a3c3775,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_2e43db43ba374d4caf6a40460a3c3775,C1CCCC1,C1CCCC1 (9932cc8996394201bf9ddd96d492f22f_2e43db43ba374d4caf6a40460a3c3775),10,1020,0.00980392156862745,"['C1CCCC1', 'CCCCCO']"
2fe3751ba02e4d37afe75bdf1bbeaa6a,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_2fe3751ba02e4d37afe75bdf1bbeaa6a,CO,CO (9932cc8996394201bf9ddd96d492f22f_2fe3751ba02e4d37afe75bdf1bbeaa6a),10,1020,0.00980392156862745,"['CCOC(=O)C(C)C', 'CO']"
2fe3751ba02e4d37afe75bdf1bbeaa6a,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_2fe3751ba02e4d37afe75bdf1bbeaa6a,CCOC(=O)C(C)C{solv}{x=0.480000}|CO{solv}{x=0.520000},CCOC(=O)C(C)C{solv}{x=0.480000}|CO{solv}{x=0.520000} (9932cc8996394201bf9ddd96d492f22f_2fe3751ba02e4d37afe75bdf1bbeaa6a),10,1020,0.00980392156862745,"['CCOC(=O)C(C)C', 'CO']"
30485d93c43c47069b817f03280e1abe,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_30485d93c43c47069b817f03280e1abe,CCOCCO{solv}{x=0.504800}|c1ccccc1{solv}{x=0.495200},CCOCCO{solv}{x=0.504800}|c1ccccc1{solv}{x=0.495200} (9932cc8996394201bf9ddd96d492f22f_30485d93c43c47069b817f03280e1abe),10,1020,0.00980392156862745,"['CCOCCO', 'c1ccccc1']"
30e9f7dd5f014a29ac063eab7591e115,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_30e9f7dd5f014a29ac063eab7591e115,CCCCOCCCC{solv}{x=0.499400}|Cc1ccccc1{solv}{x=0.500600},CCCCOCCCC{solv}{x=0.499400}|Cc1ccccc1{solv}{x=0.500600} (9932cc8996394201bf9ddd96d492f22f_30e9f7dd5f014a29ac063eab7591e115),10,1020,0.00980392156862745,"['CCCCOCCCC', 'Cc1ccccc1']"
31b1c7367ed245a5a91ef13d23dd3266,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_31b1c7367ed245a5a91ef13d23dd3266,CCOC=O,CCOC=O (9932cc8996394201bf9ddd96d492f22f_31b1c7367ed245a5a91ef13d23dd3266),10,1020,0.00980392156862745,"['CCOC=O', 'ClCCCCCCl']"
326b58fd24114952bfb364e2fb73c940,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_326b58fd24114952bfb364e2fb73c940,COc1ccccc1,COc1ccccc1 (9932cc8996394201bf9ddd96d492f22f_326b58fd24114952bfb364e2fb73c940),10,1020,0.00980392156862745,['COc1ccccc1']
34fb7797f0954fa9a0bb1ac6a377af2a,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_34fb7797f0954fa9a0bb1ac6a377af2a,CCCOC(=O)CCC,CCCOC(=O)CCC (9932cc8996394201bf9ddd96d492f22f_34fb7797f0954fa9a0bb1ac6a377af2a),10,1020,0.00980392156862745,"['CCCOC(=O)CCC', 'ClCCCCCl']"
357c68cd1e204bd28e0377cb9d32bed4,9932cc8996394201bf9ddd96d492f22f,9932cc8996394201bf9ddd96d492f22f_357c68cd1e204bd28e0377cb9d32bed4,C1CCOCC1{solv}{x=0.478400}|Cc1ccccc1Cl{solv}{x=0.521600},C1CCOCC1{solv}{x=0.478400}|Cc1ccccc1Cl{solv}{x=0.521600} (9932cc8996394201bf9ddd96d492f22f_357c68cd1e204bd28e0377cb9d32bed4),10,1020,0.00980392156862745,"['C1CCOCC1', 'Cc1ccccc1Cl']"
